MESOZONE,orig_total,adj_total,abs_diff
250056533014,14.0,260.0,246.0
250056533015,498.0,340.0,-158.0
250056533041,174.0,599.0,425.0
250056533042,263.0,664.0,401.0
250056541001,268.0,316.0,48.0
250056541002,145.0,131.0,-14.0
250056541003,165.0,329.0,164.0
250056541004,557.0,782.0,225.0
250056542001,205.0,286.0,81.0
250056542002,212.0,398.0,186.0
250056542003,186.0,282.0,96.0
250056551001,84.0,917.0,833.0
250056551002,3650.0,3986.0,336.0
250056551003,384.0,651.0,267.0
250056552001,101.0,297.0,196.0
250056552002,164.0,232.0,68.0
250056552003,273.0,311.0,38.0
250056552004,30.0,188.0,158.0
250056552005,16.0,124.0,108.0
250056553001,1807.0,3572.0,1765.0
250056553002,721.0,934.0,213.0
250056553003,476.0,686.0,210.0
250056554001,201.0,212.0,11.0
250056554002,28.0,152.0,124.0
250056554003,168.0,230.0,62.0
250056554004,22.0,522.0,500.0
250059855001,1616.0,2891.0,1275.0
250059856001,2966.0,5351.0,2385.0
250072001001,89.0,779.0,690.0
250072001002,548.0,1096.0,548.0
250072001003,412.0,790.0,378.0
250072001004,509.0,987.0,478.0
250072001005,93.0,1160.0,1067.0
250072002001,891.0,665.0,-226.0
250072002002,433.0,875.0,442.0
250072002003,445.0,1522.0,1077.0
250072002004,167.0,348.0,181.0
250072002005,117.0,183.0,66.0
250072003001,35.0,737.0,702.0
250072003002,939.0,1427.0,488.0
250072003003,843.0,2260.0,1417.0
250072003004,400.0,682.0,282.0
250072004001,446.0,713.0,267.0
250072004002,581.0,1092.0,511.0
250072004003,50.0,252.0,202.0
250072004004,198.0,348.0,150.0
250072004005,134.0,174.0,40.0
250072004006,59.0,74.0,15.0
250092011001,131.0,680.0,549.0
250092011002,45.0,216.0,171.0
250092011003,92.0,233.0,141.0
250092011004,97.0,349.0,252.0
250092021011,717.0,2364.0,1647.0
250092021012,10.0,118.0,108.0
250092021013,428.0,254.0,-174.0
250092021021,193.0,660.0,467.0
250092021022,89.0,507.0,418.0
250092021023,975.0,2825.0,1850.0
250092021024,129.0,368.0,239.0
250092021025,22.0,88.0,66.0
250092022001,20.0,165.0,145.0
250092022002,40.0,389.0,349.0
250092022003,35.0,145.0,110.0
250092022004,438.0,1022.0,584.0
250092022005,60.0,140.0,80.0
250092022006,420.0,205.0,-215.0
250092031001,315.0,989.0,674.0
250092031002,48.0,949.0,901.0
250092031003,17.0,483.0,466.0
250092031004,235.0,262.0,27.0
250092031005,47.0,80.0,33.0
250092031006,119.0,182.0,63.0
250092031007,335.0,28.0,-307.0
250092031008,21.0,41.0,20.0
250092032001,98.0,1645.0,1547.0
250092032002,460.0,2677.0,2217.0
250092032003,285.0,392.0,107.0
250092032004,78.0,285.0,207.0
250092032005,296.0,622.0,326.0
250092033011,316.0,1355.0,1039.0
250092033012,115.0,1276.0,1161.0
250092033013,871.0,759.0,-112.0
250092033014,26.0,28.0,2.0
250092033021,178.0,275.0,97.0
250092033022,403.0,408.0,5.0
250092033023,837.0,684.0,-153.0
250092041011,80.0,431.0,351.0
250092041012,21.0,2532.0,2511.0
250092041013,490.0,623.0,133.0
250092041014,14.0,63.0,49.0
