Commodity_SCTG,ORIG_CFS_AREA,UnitCost
17,12-370,546.7343009
18,12-370,507.3150655
19,12-370,266.0185437
20,12-370,1383.958167
21,12-370,66412.39555
22,12-370,384.7315247
23,12-370,4501.56703
24,12-370,5480.356971
25,12-370,3861.559688
26,12-370,1161.277784
27,12-370,1138.635536
28,12-370,2101.129742
29,12-370,5544.18115
30,12-370,14031.48837
31,12-370,163.5995026
32,12-370,2024.569152
33,12-370,12097.91226
34,12-370,2938.155178
35,12-370,24855.6388
36,12-370,12876.58945
37,12-370,188158.4123
38,12-370,90295.81937
39,12-370,6051.455381
40,12-370,11132.52673
41,12-370,0.01210093
43,12-370,5102.894396
1,12-422,1907.407302
2,12-422,131.4114997
3,12-422,679.4575674
4,12-422,977.2135664
5,12-422,4168.81488
6,12-422,3201.176712
7,12-422,767.4936502
8,12-422,1784.085438
9,12-422,22869.92472
10,12-422,192.9616773
11,12-422,17.50615717
12,12-422,4.742844606
13,12-422,372.1891262
14,12-422,166436.5079
17,12-422,601.7974525
18,12-422,602.5877866
19,12-422,266.0842012
20,12-422,279.8596988
21,12-422,43664.65537
22,12-422,262.5514458
23,12-422,2743.092634
24,12-422,2870.405911
25,12-422,10.66407063
26,12-422,660.1377462
27,12-422,1420.97702
28,12-422,1695.805404
29,12-422,5392.248874
30,12-422,7562.804395
31,12-422,91.35283784
32,12-422,2956.803415
33,12-422,4162.157583
34,12-422,13723.85914
35,12-422,16412.01674
36,12-422,20106.65328
37,12-422,45802.74928
38,12-422,2031.619738
39,12-422,5470.809222
40,12-422,3700.660273
41,12-422,50.54274269
43,12-422,3654.178329
1,12-45300,4252.661689
2,12-45300,99.86637088
3,12-45300,1654.007005
4,12-45300,233.2644273
5,12-45300,6084.320674
6,12-45300,2646.021882
7,12-45300,650.7695905
8,12-45300,3084.66851
9,12-45300,54659.52291
10,12-45300,131.3852591
11,12-45300,1.111114004
12,12-45300,11.09479054
13,12-45300,201.1358593
14,12-45300,2280.418446
17,12-45300,593.9842196
18,12-45300,576.5069747
19,12-45300,313.6554825
20,12-45300,179.8540414
21,12-45300,5189.882545
22,12-45300,269.9004588
23,12-45300,3071.341663
24,12-45300,4723.556209
25,12-45300,20.60618801
26,12-45300,869.6792342
27,12-45300,2718.129079
28,12-45300,2061.853543
29,12-45300,3218.666963
30,12-45300,25638.05966
31,12-45300,181.8396509
32,12-45300,1324.039675
33,12-45300,4404.862675
34,12-45300,14204.18194
35,12-45300,18434.96547
36,12-45300,8840.671289
37,12-45300,35455.15258
38,12-45300,144728.4952
39,12-45300,6465.905046
40,12-45300,5435.068884
41,12-45300,19.2578373
43,12-45300,5011.549996
1,12-99999,2448.837845
2,12-99999,176.9832043
3,12-99999,304.1259648
4,12-99999,325.9910182
5,12-99999,4997.599248
6,12-99999,1781.080027
7,12-99999,758.4856836
8,12-99999,2373.319509
9,12-99999,92485.44802
10,12-99999,416.1620105
11,12-99999,10.12276512
12,12-99999,6.791523014
13,12-99999,74.52323021
14,12-99999,167499.3063
16,12-99999,299.0256457
17,12-99999,533.0944627
18,12-99999,562.5278725
19,12-99999,275.087801
20,12-99999,1312.175398
21,12-99999,17748.5886
22,12-99999,277.5212284
23,12-99999,3050.729456
24,12-99999,3040.1184
25,12-99999,40.43513057
26,12-99999,461.7956946
27,12-99999,835.1997761
28,12-99999,2199.316162
29,12-99999,6581.729086
30,12-99999,10970.3574
31,12-99999,115.0907995
32,12-99999,1950.200202
33,12-99999,2767.237495
34,12-99999,1993.264002
35,12-99999,20745.89546
36,12-99999,8577.908741
37,12-99999,534288.2799
38,12-99999,24270.19144
39,12-99999,4491.969089
40,12-99999,3150.856186
41,12-99999,19.30289009
43,12-99999,3941.022711
1,13-122,1550.091698
2,13-122,754.0370863
3,13-122,892.4631648
4,13-122,553.0983718
5,13-122,2718.578106
6,13-122,1481.199578
7,13-122,1071.17345
8,13-122,2620.951909
9,13-122,38414.84308
10,13-122,1327.481777
11,13-122,28.23718037
12,13-122,11.02935936
13,13-122,248.4016879
14,13-122,197.5298058
17,13-122,545.1156802
18,13-122,527.1058042
19,13-122,166.5390084
20,13-122,745.4435927
21,13-122,165319.9193
22,13-122,552.7047681
23,13-122,2754.597377
24,13-122,4178.831678
25,13-122,14.91321404
26,13-122,888.7563772
27,13-122,811.9764842
28,13-122,1788.607297
