"","NAICS","size_group","total_emp","total_est","total_firm","emp_per_est","est_per_firm"
"2111",561730,1,289662,94585,94541,3.06245176296453,1.00046540654319
"2112",561730,2,170680,4897,4687,34.853992240147,1.04480477917645
"2113",561740,1,23165,7161,7147,3.23488339617372,1.00195886385896
"2114",561740,2,10282,343,287,29.9766763848396,1.19512195121951
"2115",561790,1,40190,12818,12807,3.13543454517085,1.00085890528617
"2116",561790,2,17894,562,525,31.8398576512456,1.07047619047619
"2117",561790,3,4579,54,41,84.7962962962963,1.31707317073171
"2118",561910,1,5097,1072,1070,4.75466417910448,1.0018691588785
"2119",561910,2,11535,298,272,38.7080536912752,1.09558823529412
"2120",561920,1,13449,4328,4319,3.10743992606285,1.00208381569808
"2121",561920,2,15123,417,360,36.2661870503597,1.15833333333333
"2122",561990,1,39498,10563,10501,3.73927861403011,1.00590419960004
"2123",561990,2,29464,1034,826,28.495164410058,1.25181598062954
"2124",562111,1,28839,5500,5482,5.24345454545455,1.00328347318497
"2125",562111,2,33810,1048,918,32.2614503816794,1.14161220043573
"2126",562112,1,1243,246,243,5.05284552845528,1.01234567901235
"2127",562112,2,1946,56,52,34.75,1.07692307692308
"2128",562119,1,2721,671,671,4.05514157973174,1
"2129",562119,2,2245,82,66,27.3780487804878,1.24242424242424
"2130",562119,3,707,13,12,54.3846153846154,1.08333333333333
"2131",562211,1,1653,301,296,5.49169435215947,1.01689189189189
"2132",562211,2,2103,76,67,27.6710526315789,1.13432835820896
"2133",562212,1,2772,513,506,5.40350877192982,1.01383399209486
"2134",562212,2,2237,80,71,27.9625,1.12676056338028
"2135",562213,1,115,21,21,5.47619047619048,1
"2136",562219,1,847,203,201,4.17241379310345,1.00995024875622
"2137",562219,2,898,30,26,29.9333333333333,1.15384615384615
"2138",562910,1,15307,2850,2839,5.37087719298246,1.00387460373371
"2139",562910,2,25233,728,654,34.6607142857143,1.1131498470948
"2140",562920,1,4179,732,725,5.70901639344262,1.00965517241379
"2141",562920,2,6290,217,177,28.9861751152074,1.22598870056497
"2142",562991,1,13073,3204,3199,4.08021223470662,1.00156298843389
"2143",562991,2,6390,217,184,29.4470046082949,1.17934782608696
"2144",562998,1,4678,909,909,5.14631463146315,1
"2145",562998,2,3670,128,111,28.671875,1.15315315315315
"2146",611110,1,62100,7866,7814,7.89473684210526,1.00665472229332
