ORIG_CFS_AREA,DEST_CFS_AREA,orig_FAFID,dest_FAFID,Distance
04-536,48-13140,42,482,1011.6
04-536,48-204,42,483,920.25
04-536,48-206,42,484,876.8304094
04-536,48-238,42,485,311.3277311
04-536,48-288,42,486,979.9375
04-536,48-29700,42,487,850.3333333
04-536,48-41700,42,488,823.8571429
04-536,48-99999,42,489,795.3904762
04-536,49-482,42,491,701.6470588
04-536,49-99999,42,499,524.0909091
04-536,50-99999,42,500,2205.933333
04-536,51-40060,42,511,2039.9375
04-536,51-47900,42,513,1959.6
04-536,51-545,42,512,2013.142857
04-536,51-99999,42,519,1893.027027
04-536,53-440,42,532,1258.375
04-536,53-500,42,531,1352.383117
04-536,53-99999,42,539,1212.790698
04-536,54-99999,42,540,1913.181818
04-536,55-376,42,551,1520.041667
04-536,55-99999,42,559,1498.276316
04-536,56-99999,42,560,844.9545455
04-99999,01-142,49,11,1540.846154
04-99999,01-380,49,12,1430.555556
04-99999,01-99999,49,19,1482
04-99999,02-99999,49,20,2185.454545
04-99999,04-38060,49,41,127.2356378
04-99999,04-536,49,42,164
04-99999,04-99999,49,49,33.64349093
04-99999,05-99999,49,50,1189.148148
04-99999,06-260,49,65,466.1904762
04-99999,06-348,49,61,307.9374218
04-99999,06-41740,49,63,330.6774194
04-99999,06-472,49,62,636.7461538
04-99999,06-488,49,64,596.4846416
04-99999,06-99999,49,69,365.246888
04-99999,08-216,49,81,693.757764
04-99999,08-99999,49,89,670.4235294
04-99999,09-25540,49,91,2277
04-99999,09-408,49,92,2138.428571
04-99999,09-99999,49,99,2279
04-99999,10-428,49,101,2033.2
04-99999,10-99999,49,109,2061.5
04-99999,11-47900,49,111,2014.285714
04-99999,12-300,49,121,1865.666667
04-99999,12-370,49,122,2051.685714
04-99999,12-422,49,123,1929
04-99999,12-45300,49,124,1879.961538
04-99999,12-99999,49,129,1821.96
04-99999,13-122,49,131,1704.663366
04-99999,13-496,49,132,1789.333333
04-99999,13-99999,49,139,1760.24
04-99999,16-99999,49,160,739.3043478
04-99999,17-176,49,171,1478.872549
04-99999,17-476,49,172,1329.875
04-99999,17-99999,49,179,1447.766667
04-99999,18-176,49,181,1584.5
04-99999,18-258,49,183,1499.8
04-99999,18-294,49,182,1606.84127
04-99999,18-99999,49,189,1507.975
04-99999,19-99999,49,190,1207.090909
04-99999,20-312,49,201,1015.666667
04-99999,20-556,49,202,865.75
04-99999,20-99999,49,209,935
04-99999,21-178,49,211,1622
04-99999,21-350,49,212,1625.454545
04-99999,21-99999,49,219,1552.88
04-99999,22-12940,49,221,1431.75
04-99999,22-324,49,222,1215
04-99999,22-406,49,223,1366.636364
04-99999,22-99999,49,229,1251.8125
04-99999,23-99999,49,230,2374.478261
04-99999,24-12580,49,241,2072.545455
04-99999,24-47900,49,242,2062.733333
04-99999,24-99999,49,249,1943.333333
04-99999,25-148,49,251,2310.689655
04-99999,25-99999,49,259,2158.9
04-99999,26-220,49,261,1709.053571
04-99999,26-266,49,262,1745.615385
04-99999,26-99999,49,269,1669.761905
04-99999,27-378,49,271,1387.87931
