orig_FAFID,dest_FAFID,Distance,Travel_time,Alternative
42,350,583.25,24.97307692,Private Truck
42,361,2980.98,109.155625,Private Truck
42,362,2555.25,95.8515625,Private Truck
42,363,2921.5,107.296875,Private Truck
42,364,3012.11,110.1284375,Private Truck
42,371,2319.9,88.496875,Private Truck
42,372,2507.49,94.3590625,Private Truck
42,373,2618.15,97.8171875,Private Truck
42,379,2582.41,96.7003125,Private Truck
42,380,2402.24,91.07,Private Truck
42,391,2144.46,83.014375,Private Truck
42,392,2368.14,90.004375,Private Truck
42,393,2248.63,86.2696875,Private Truck
42,394,2177.96,84.06125,Private Truck
42,399,2270.26,86.945625,Private Truck
42,401,1106.33,45.11394737,Private Truck
42,402,1218.45,48.06447368,Private Truck
42,409,1142.02,46.05315789,Private Truck
42,419,1779.7,71.615625,Private Truck
42,421,2775.85,102.7453125,Private Truck
42,422,2483.82,93.619375,Private Truck
42,423,2777.24,102.78875,Private Truck
42,429,2638.48,98.4525,Private Truck
42,441,3114.94,113.341875,Private Truck
42,452,2092.76,81.39875,Private Truck
42,459,2303.02,87.969375,Private Truck
42,460,2053.88,80.18375,Private Truck
42,471,1579.74,65.366875,Private Truck
42,472,2044.19,79.8809375,Private Truck
42,473,2337.76,89.055,Private Truck
42,479,2036.75,79.6484375,Private Truck
42,481,952.67,41.07026316,Private Truck
42,482,1220.31,48.11342105,Private Truck
42,483,1105.61,45.095,Private Truck
42,484,1018.74,42.80894737,Private Truck
42,485,426.71,22.56476923,Private Truck
42,486,1099.62,44.93736842,Private Truck
42,487,965.68,41.41263158,Private Truck
42,488,926.13,40.37184211,Private Truck
42,489,835.34,37.98263158,Private Truck
42,491,1440.1,61.003125,Private Truck
42,499,1291.13,49.97710526,Private Truck
42,500,3210.63,116.3321875,Private Truck
42,511,3084.29,112.3840625,Private Truck
42,512,3112.86,113.276875,Private Truck
42,513,2891.19,106.3496875,Private Truck
42,519,4297.9,150.309375,Private Truck
42,531,2054.93,80.2165625,Private Truck
42,532,1904.65,75.5203125,Private Truck
42,539,2383.66,90.489375,Private Truck
42,540,2598.89,97.2153125,Private Truck
42,551,2114.14,82.066875,Private Truck
42,560,2380.35,90.3859375,Private Truck
49,11,1722.69,69.8340625,Private Truck
49,12,1781.92,71.685,Private Truck
49,19,1733.45,70.1703125,Private Truck
49,41,220.02,15.001,Private Truck
49,42,285.72,20.39569231,Private Truck
49,49,0,4,Private Truck
49,50,1362.44,58.57625,Private Truck
49,61,453.37,22.97492308,Private Truck
49,62,1125.88,45.62842105,Private Truck
49,63,667.76,33.57263158,Private Truck
49,64,1052.69,43.70236842,Private Truck
49,65,854.9,38.49736842,Private Truck
49,69,1072.07,44.21236842,Private Truck
49,81,2213.29,85.1653125,Private Truck
49,89,2377.87,90.3084375,Private Truck
49,91,2892.61,106.3940625,Private Truck
49,92,2813.54,103.923125,Private Truck
49,99,2905.05,106.7828125,Private Truck
49,101,2713.91,100.8096875,Private Truck
49,109,2787.57,103.1115625,Private Truck
49,111,2690.38,100.074375,Private Truck
49,122,2613.53,97.6728125,Private Truck
49,123,2355.1,89.596875,Private Truck
49,124,2366.21,89.9440625,Private Truck
49,129,2360.93,89.7790625,Private Truck
49,131,1902,75.4375,Private Truck
49,132,2169.9,83.809375,Private Truck
49,139,2009.8,78.80625,Private Truck
49,160,1530.72,63.835,Private Truck
49,171,1862.37,74.1990625,Private Truck
49,172,1561.65,64.8015625,Private Truck
49,179,1685.89,68.6840625,Private Truck
49,181,1903.94,75.498125,Private Truck
49,182,1904.15,75.5046875,Private Truck
49,183,1999.84,78.495,Private Truck
49,189,1876.41,74.6378125,Private Truck
49,190,1533.68,63.9275,Private Truck
49,201,1307.62,56.863125,Private Truck
49,202,1145.82,46.15315789,Private Truck
49,209,1047.62,43.56894737,Private Truck
49,211,2258.04,86.56375,Private Truck
49,212,1976.9,77.778125,Private Truck
49,221,1970.77,77.5865625,Private Truck
49,222,1538.16,64.0675,Private Truck
49,223,1898.15,75.3171875,Private Truck
49,229,1928.4,76.2625,Private Truck
49,230,3401.5,122.296875,Private Truck
49,241,2693.76,100.18,Private Truck
49,242,2711.6,100.7375,Private Truck
49,249,2742.21,101.6940625,Private Truck
49,251,3033.82,110.806875,Private Truck
49,259,2932.68,107.64625,Private Truck
49,261,2206.82,84.963125,Private Truck
49,262,2067.51,80.6096875,Private Truck
49,269,2322.87,88.5896875,Private Truck
49,271,1791.54,71.985625,Private Truck
49,279,1965.19,77.4121875,Private Truck
49,280,1594.5,65.828125,Private Truck
49,291,1325.17,57.4115625,Private Truck
49,292,1481.25,62.2890625,Private Truck
49,299,1411.01,60.0940625,Private Truck
49,300,1882.48,74.8275,Private Truck
49,311,1519.12,63.4725,Private Truck
49,319,1958.89,77.2153125,Private Truck
49,321,882.07,39.21236842,Private Truck
49,329,1110.23,45.21657895,Private Truck
49,331,3025.98,110.561875,Private Truck
