Commodity_SCTG,FAF,value_fraction
05,151,0.0016442849345086235
05,159,0.0009194324825768579
05,160,0.0019958325975921306
05,171,0.043622274409796664
05,172,0.0011212770974419197
05,179,0.012423847190573843
05,181,0.0006948565318940309
05,183,0.0015095549014601732
05,182,0.006869712669863475
05,189,0.005844988139792059
05,190,0.03319194555539168
05,201,0.010251649620697165
05,202,0.00135145115392146
05,209,0.009229207476776358
05,211,0.001206517954534983
05,212,0.00412617584568206
05,219,0.003984202375998255
05,221,0.001943373585090394
05,222,7.409088408293015e-05
05,223,0.008417215769170372
05,229,0.0026682495516490317
05,230,0.004862538332300984
05,241,0.006819187167849166
05,242,0.006275784178566561
05,249,0.003361350277773836
05,251,0.01631190994460129
05,259,0.004448860463394634
05,261,0.011198471615149362
05,262,0.006129903173427905
05,269,0.002614484349225562
05,271,0.01295389014380406
05,279,0.007586399179108308
05,280,0.008592478953436433
05,291,0.006005456620420321
05,292,0.0044406360026177155
05,299,0.007831517809128715
05,300,0.0015951380998585952
05,311,0.009790952339190693
05,319,0.01854216800152944
05,321,0.005060355645745148
05,329,0.0020991101281463403
05,331,0.001231655197934816
05,339,9.574493828166414e-05
05,341,0.02554173283014956
05,342,0.007559084672774858
05,350,0.0022784191023683467
05,361,0.00450066286807877
05,362,0.0019928605854597705
05,363,0.037222355883730206
05,364,0.0011815947448952056
05,369,0.004394331824076036
05,371,0.007076888845724531
05,372,0.0026249711359230305
05,373,0.004717383138666823
05,379,0.01160287293057881
05,380,0.0007942687344727357
05,391,0.0049413896142925335
05,392,0.007820202855202482
05,393,0.006350843890297453
05,394,0.00413744791896294
05,399,0.006704406668074016
05,401,0.0038702103772253462
05,402,0.0011866571672237258
05,409,0.0040343048737063285
05,411,0.007755301132858513
05,419,0.0014064246048511317
05,423,0.0045738764829826445
05,421,0.01087444480351037
05,422,0.004731858359998107
05,429,0.019328941720598528
05,441,0.0021361257011135227
05,451,0.00137362051333635
05,452,0.001272859501214113
05,459,0.007222961553809798
05,460,0.0020088047450444505
05,473,0.0015299592403605743
05,471,0.0036947929265777565
05,472,0.007012811893503238
05,479,0.0020808753836992393
05,481,0.002199238003525206
05,482,0.000669401129135725
05,483,0.00015116196936414546
05,484,0.0313949621756864
05,485,0.0012239039146925
05,486,0.0211650647762588
05,487,0.003832485621678584
05,488,0.011620278027299613
05,489,0.01604211197226104
05,491,0.008137882592688116
05,499,0.00037355423879847997
05,500,0.0009972031481031054
05,511,0.005265135951008207
05,513,0.006393192158383124
05,512,0.003699524742261134
05,519,0.006491496768165352
